x,y,cluster
11.518753,6.814413,0
6.746069,4.193922,0
10.994704,4.185808,0
9.443586,5.036560,0
8.189076,5.788035,0
10.479193,5.940802,0
10.683862,5.986435,0
10.225466,2.715186,0
9.901391,6.702647,0
9.539930,2.651702,0
9.916728,2.787107,0
12.139470,7.218424,0
11.261176,5.173397,0
8.795169,3.230773,0
11.610470,4.802868,0
9.180480,3.675007,0
11.346970,3.878397,0
10.057773,5.945923,0
9.852582,4.293112,0
9.420536,0.962263,0
9.588057,3.436036,0
11.648545,6.378903,0
8.762041,6.674630,0
12.893613,6.028627,0
10.144284,5.045087,0
12.337357,7.634403,0
10.768653,2.773913,0
10.743593,6.572454,0
9.299758,4.829161,0
9.264398,6.394462,0
10.381536,6.198679,0
12.108608,3.677611,0
10.666162,5.103482,0
11.338197,6.271921,0
7.935479,4.329443,0
10.981915,5.030580,0
9.609366,3.818657,0
10.378440,3.667405,0
10.803927,6.234446,0
9.437062,5.281651,0
9.974987,5.893880,0
7.168132,4.850305,0
10.572513,3.818298,0
8.373921,6.097546,0
10.820443,4.031041,0
10.566852,6.848930,0
8.837784,3.763979,0
8.882293,2.104028,0
9.852352,4.131990,0
9.421295,4.597509,0
7.570590,4.104697,0
10.038680,6.113908,0
11.145974,3.694508,0
12.153454,5.386145,0
8.900373,4.964579,0
11.894589,6.980903,0
10.610944,4.755873,0
9.387942,6.209917,0
7.900486,1.885943,0
6.513068,4.893122,0
10.020682,6.357168,0
9.522894,4.358859,0
10.088600,3.995435,0
10.787313,5.544942,0
10.815848,5.985055,0
10.549498,6.678869,0
8.188714,4.620867,0
11.078509,8.940114,0
11.154850,6.256390,0
10.041373,4.865734,0
10.994026,4.445598,0
9.103561,4.332934,0
9.910660,4.411116,0
9.813345,5.971408,0
10.605846,4.417081,0
9.392996,4.325194,0
9.688542,4.233451,0
10.997127,7.003348,0
10.977193,3.395984,0
10.172363,3.773699,0
10.722425,4.510222,0
10.912282,2.603814,0
11.054633,4.689047,0
9.766646,6.071878,0
9.264363,5.199295,0
8.564481,5.281583,0
7.586668,2.640587,0
11.038646,4.637900,0
8.619241,5.410278,0
10.510727,4.631655,0
10.969357,6.298012,0
11.137366,4.632345,0
8.741358,0.849338,0
10.394212,5.132814,0
10.335544,6.282199,0
12.102773,5.681882,0
8.396908,4.075244,0
10.209782,5.532224,0
11.212438,5.272686,0
10.799519,7.388170,0
10.354825,2.925361,0
8.629585,3.181909,0
10.205421,5.553483,0
9.635276,4.905514,0
8.731306,3.456318,0
10.370529,5.845770,0
8.503887,4.529199,0
7.642378,3.127449,0
8.282874,4.514037,0
9.045700,4.771643,0
8.828065,6.677297,0
10.423337,6.281395,0
9.095336,6.226711,0
13.366568,5.489237,0
13.192366,7.613791,0
7.978461,4.844441,0
10.197812,4.800237,0
12.552033,3.903749,0
11.306468,3.936190,0
10.482225,4.621877,0
10.379542,3.853831,0
8.608954,4.130715,0
10.328485,4.067355,0
11.934181,6.579841,0
10.451792,6.989548,0
13.244101,8.328551,0
9.010096,5.786940,0
8.704418,3.133677,0
9.100357,4.176364,0
9.569091,6.172233,0
9.540328,5.515670,0
9.991983,4.422148,0
8.353057,5.518463,0
10.051121,6.497262,0
8.633512,4.386419,0
11.741774,6.137399,0
6.652932,2.159119,0
10.109653,3.360923,0
6.861809,3.172157,0
10.186968,3.655540,0
10.994652,3.329727,0
10.204454,4.144998,0
9.957890,5.702056,0
12.159960,5.361528,0
10.207034,4.942724,0
11.297885,3.504936,0
10.729713,6.883091,0
7.951987,4.971067,0
9.060266,3.834277,0
