"No.","Time","Source","Destination","Protocol","Length","Info"
"14","0.038107","163.10.20.18","163.10.10.61","SMTP","103","S: 220 mail ESMTP Postfix (Debian/GNU)"
"16","0.038351","163.10.10.61","163.10.20.18","SMTP","95","C: EHLO mail.linti.unlp.edu.ar"
"18","0.038618","163.10.20.18","163.10.10.61","SMTP","251","S: 250-mail | 250-PIPELINING | 250-SIZE 10240000 | 250-VRFY | 250-ETRN | 250-STARTTLS | 250-AUTH PLAIN LOGIN | 250-AUTH=PLAIN LOGIN | 250-ENHANCEDSTATUSCODES | 250-8BITMIME | 250-DSN | 250 SMTPUTF8"
"19","0.038740","163.10.10.61","163.10.20.18","SMTP","76","C: STARTTLS"
"20","0.038957","163.10.20.18","163.10.10.61","SMTP","96","S: 220 2.0.0 Ready to start TLS"
"85","24.383315","163.10.20.18","163.10.10.61","SMTP","103","S: 220 mail ESMTP Postfix (Debian/GNU)"
"87","24.383406","163.10.10.61","163.10.20.18","SMTP","95","C: EHLO mail.linti.unlp.edu.ar"
"89","24.383752","163.10.20.18","163.10.10.61","SMTP","237","S: 250-mail | 250-PIPELINING | 250-SIZE 10240000 | 250-VRFY | 250-ETRN | 250-AUTH PLAIN LOGIN | 250-AUTH=PLAIN LOGIN | 250-ENHANCEDSTATUSCODES | 250-8BITMIME | 250-DSN | 250 SMTPUTF8"
"90","24.383855","163.10.10.61","163.10.20.18","SMTP","171","C: MAIL FROM:<asabolansky@linti.unlp.edu.ar> SIZE=49617 | RCPT TO:<asabolansky@demo.info.unlp.edu.ar> | DATA"
"92","24.823061","163.10.20.18","163.10.10.61","SMTP","131","S: 250 2.1.0 Ok | 250 2.1.5 Ok | 354 End data with <CR><LF>.<CR><LF>"
"93","24.823349","163.10.10.61","163.10.20.18","SMTP","7306","C: DATA fragment, 7240 bytes"
"94","24.823380","163.10.10.61","163.10.20.18","SMTP","1015","C: DATA fragment, 949 bytes"
"95","24.823446","163.10.10.61","163.10.20.18","SMTP","5858","C: DATA fragment, 5792 bytes"
"98","24.823970","163.10.10.61","163.10.20.18","SMTP","5858","C: DATA fragment, 5792 bytes"
"100","24.824000","163.10.10.61","163.10.20.18","SMTP","7306","C: DATA fragment, 7240 bytes"
"103","24.824051","163.10.10.61","163.10.20.18","SMTP","4410","C: DATA fragment, 4344 bytes"
"104","24.824064","163.10.10.61","163.10.20.18","SMTP","1465","C: DATA fragment, 1399 bytes"
"107","24.824457","163.10.10.61","163.10.20.18","SMTP","10202","C: DATA fragment, 10136 bytes"
"112","24.824577","163.10.10.61","163.10.20.18","SMTP","4410","C: DATA fragment, 4344 bytes"
"113","24.824588","163.10.10.61","163.10.20.18","SMTP|IMF","1427","from: Alejandro Sabolansky <asabolansky@linti.unlp.edu.ar>, subject: Prueba de correo -- 2,  (text/plain) (image/jpeg)"
"127","24.909391","163.10.20.18","163.10.10.61","SMTP","100","S: 250 2.0.0 Ok: queued as CE32E5D2"
"128","24.914191","163.10.10.61","163.10.20.18","SMTP","72","C: QUIT"
"131","24.914879","163.10.20.18","163.10.10.61","SMTP","81","S: 221 2.0.0 Bye"
