"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","163.10.10.61","163.10.5.78","DNS","81","Standard query 0x0ef8 MX demo.info.unlp.edu.ar"
"2","0.000712","163.10.5.78","163.10.10.61","DNS","174","Standard query response 0x0ef8 MX demo.info.unlp.edu.ar MX 5 mail2.demo.info.unlp.edu.ar MX 10 mail.demo.info.unlp.edu.ar NS ada.info.unlp.edu.ar A 163.10.20.254 A 163.10.20.18"
"3","0.001016","163.10.10.61","163.10.5.78","DNS","87","Standard query 0x5cc6 AAAA mail2.demo.info.unlp.edu.ar"
"4","0.001636","163.10.5.78","163.10.10.61","DNS","132","Standard query response 0x5cc6 AAAA mail2.demo.info.unlp.edu.ar SOA ada.info.unlp.edu.ar"
"5","0.001730","163.10.10.61","163.10.5.78","DNS","87","Standard query 0xcdc3 A mail2.demo.info.unlp.edu.ar"
"6","0.002071","163.10.5.78","163.10.10.61","DNS","121","Standard query response 0xcdc3 A mail2.demo.info.unlp.edu.ar A 163.10.20.254 NS ada.info.unlp.edu.ar"
"7","0.002178","163.10.10.61","163.10.5.78","DNS","86","Standard query 0x63c6 AAAA mail.demo.info.unlp.edu.ar"
"8","0.002679","163.10.5.78","163.10.10.61","DNS","131","Standard query response 0x63c6 AAAA mail.demo.info.unlp.edu.ar SOA ada.info.unlp.edu.ar"
"9","0.002753","163.10.10.61","163.10.5.78","DNS","86","Standard query 0x2060 A mail.demo.info.unlp.edu.ar"
"10","0.003058","163.10.5.78","163.10.10.61","DNS","120","Standard query response 0x2060 A mail.demo.info.unlp.edu.ar A 163.10.20.18 NS ada.info.unlp.edu.ar"
